Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 33554432k(2543640k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.834: [Full GC (Metadata GC Threshold) 0.834: [Tenured: 0K->14257K(5592448K), 0.0533594 secs] 536863K->14257K(8108992K), [Metaspace: 20497K->20497K(1067008K)], 0.0534466 secs] [Times: user=0.10 sys=0.01, real=0.06 secs] 
2.246: [Full GC (Metadata GC Threshold) 2.246: [Tenured: 14257K->34218K(5592448K), 0.1096117 secs] 783764K->34218K(8108992K), [Metaspace: 33893K->33893K(1079296K)], 0.1096988 secs] [Times: user=0.44 sys=0.00, real=0.11 secs] 
5.595: [GC (Allocation Failure) 5.595: [DefNew: 2236928K->7996K(2516544K), 0.0108216 secs] 2271146K->42215K(8108992K), 0.0109179 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
21.505: [GC (Allocation Failure) 21.505: [DefNew: 2244287K->7387K(2516544K), 0.0052252 secs] 2278505K->41606K(8108992K), 0.0053103 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
22.701: [GC (Allocation Failure) 22.701: [DefNew: 2244315K->7385K(2516544K), 0.0049729 secs] 2278534K->41603K(8108992K), 0.0050529 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.894: [GC (Allocation Failure) 23.894: [DefNew: 2244313K->148K(2516544K), 0.0078947 secs] 2278531K->41566K(8108992K), 0.0079954 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.134: [GC (Allocation Failure) 25.134: [DefNew: 2237076K->166K(2516544K), 0.0025281 secs] 2278494K->41596K(8108992K), 0.0025998 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
26.346: [GC (Allocation Failure) 26.346: [DefNew: 2237094K->155K(2516544K), 0.0025400 secs] 2278524K->41595K(8108992K), 0.0026159 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.538: [GC (Allocation Failure) 27.538: [DefNew: 2237083K->100K(2516544K), 0.0023460 secs] 2278523K->41561K(8108992K), 0.0024069 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
46.602: [GC (Allocation Failure) 46.602: [DefNew: 2237028K->125K(2516544K), 0.0029314 secs] 2278489K->41586K(8108992K), 0.0030199 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.653: [GC (Allocation Failure) 48.653: [DefNew: 2237053K->135K(2516544K), 0.0020517 secs] 2278514K->41596K(8108992K), 0.0021748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.275: [GC (Allocation Failure) 51.276: [DefNew: 2237063K->119K(2516544K), 0.0021459 secs] 2278524K->41581K(8108992K), 0.0022487 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
52.418: [GC (Allocation Failure) 52.418: [DefNew: 2237047K->124K(2516544K), 0.0022006 secs] 2278509K->41587K(8108992K), 0.0023042 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.199: [GC (Allocation Failure) 55.199: [DefNew: 2237052K->111K(2516544K), 0.0020163 secs] 2278515K->41585K(8108992K), 0.0020952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
57.034: [GC (Allocation Failure) 57.034: [DefNew: 2237039K->99K(2516544K), 0.0032641 secs] 2278513K->41573K(8108992K), 0.0033472 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
59.262: [GC (Allocation Failure) 59.262: [DefNew: 2237027K->114K(2516544K), 0.0021638 secs] 2278501K->41588K(8108992K), 0.0022345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.433: [GC (Allocation Failure) 60.433: [DefNew: 2237042K->108K(2516544K), 0.0026405 secs] 2278516K->41583K(8108992K), 0.0027882 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
61.548: [GC (Allocation Failure) 61.548: [DefNew: 2237036K->120K(2516544K), 0.0022607 secs] 2278511K->41595K(8108992K), 0.0023290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.688: [GC (Allocation Failure) 62.688: [DefNew: 2237048K->138K(2516544K), 0.0022263 secs] 2278523K->41613K(8108992K), 0.0022898 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
160.103: [GC (Allocation Failure) 160.103: [DefNew: 2237066K->372K(2516544K), 0.0027106 secs] 2278541K->41847K(8108992K), 0.0028045 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
161.246: [GC (Allocation Failure) 161.246: [DefNew: 2237300K->364K(2516544K), 0.0021735 secs] 2278775K->41839K(8108992K), 0.0022784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
162.394: [GC (Allocation Failure) 162.394: [DefNew: 2237292K->375K(2516544K), 0.0021262 secs] 2278767K->41850K(8108992K), 0.0021835 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
163.527: [GC (Allocation Failure) 163.527: [DefNew: 2237303K->385K(2516544K), 0.0021929 secs] 2278778K->41860K(8108992K), 0.0023131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
164.639: [GC (Allocation Failure) 164.639: [DefNew: 2237313K->427K(2516544K), 0.0022432 secs] 2278788K->41902K(8108992K), 0.0023017 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
165.784: [GC (Allocation Failure) 165.784: [DefNew: 2237355K->396K(2516544K), 0.0022815 secs] 2278830K->41873K(8108992K), 0.0023422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
166.950: [GC (Allocation Failure) 166.950: [DefNew: 2237324K->389K(2516544K), 0.0025467 secs] 2278801K->41866K(8108992K), 0.0026747 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
168.088: [GC (Allocation Failure) 168.088: [DefNew: 2237317K->408K(2516544K), 0.0022066 secs] 2278794K->41885K(8108992K), 0.0022927 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
169.241: [GC (Allocation Failure) 169.241: [DefNew: 2237336K->406K(2516544K), 0.0021406 secs] 2278813K->41883K(8108992K), 0.0022454 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
170.341: [GC (Allocation Failure) 170.341: [DefNew: 2237334K->396K(2516544K), 0.0023932 secs] 2278811K->41873K(8108992K), 0.0024573 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
171.408: [GC (Allocation Failure) 171.408: [DefNew: 2237324K->405K(2516544K), 0.0024048 secs] 2278801K->41882K(8108992K), 0.0024747 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
172.477: [GC (Allocation Failure) 172.477: [DefNew: 2237333K->418K(2516544K), 0.0023791 secs] 2278810K->41895K(8108992K), 0.0024518 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
173.550: [GC (Allocation Failure) 173.550: [DefNew: 2237346K->408K(2516544K), 0.0024933 secs] 2278823K->41885K(8108992K), 0.0025487 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
174.726: [GC (Allocation Failure) 174.726: [DefNew: 2237336K->389K(2516544K), 0.0025101 secs] 2278813K->41867K(8108992K), 0.0025786 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
175.938: [GC (Allocation Failure) 175.938: [DefNew: 2237317K->418K(2516544K), 0.0026483 secs] 2278795K->41896K(8108992K), 0.0027148 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
177.176: [GC (Allocation Failure) 177.176: [DefNew: 2237346K->134K(2516544K), 0.0025564 secs] 2278824K->41861K(8108992K), 0.0026155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
178.337: [GC (Allocation Failure) 178.337: [DefNew: 2237062K->110K(2516544K), 0.0024691 secs] 2278789K->41858K(8108992K), 0.0025552 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
179.465: [GC (Allocation Failure) 179.465: [DefNew: 2237038K->138K(2516544K), 0.0022968 secs] 2278786K->41885K(8108992K), 0.0023652 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
180.577: [GC (Allocation Failure) 180.577: [DefNew: 2237066K->126K(2516544K), 0.0022874 secs] 2278813K->41874K(8108992K), 0.0023572 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
181.696: [GC (Allocation Failure) 181.696: [DefNew: 2237054K->84K(2516544K), 0.0022635 secs] 2278802K->41832K(8108992K), 0.0023402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
197.864: [GC (Allocation Failure) 197.864: [DefNew: 2237012K->131K(2516544K), 0.0020475 secs] 2278760K->41881K(8108992K), 0.0021136 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
201.619: [GC (Allocation Failure) 201.619: [DefNew: 2237059K->98K(2516544K), 0.0019545 secs] 2278809K->41848K(8108992K), 0.0020551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
203.952: [GC (Allocation Failure) 203.952: [DefNew: 2237026K->115K(2516544K), 0.0021039 secs] 2278776K->41865K(8108992K), 0.0021717 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
205.034: [GC (Allocation Failure) 205.034: [DefNew: 2237043K->185K(2516544K), 0.0020766 secs] 2278793K->41936K(8108992K), 0.0021347 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
207.791: [GC (Allocation Failure) 207.791: [DefNew: 2237113K->128K(2516544K), 0.0020182 secs] 2278864K->41880K(8108992K), 0.0020976 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
209.739: [GC (Allocation Failure) 209.739: [DefNew: 2237056K->130K(2516544K), 0.0021507 secs] 2278808K->41882K(8108992K), 0.0022261 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
211.526: [GC (Allocation Failure) 211.526: [DefNew: 2237058K->111K(2516544K), 0.0020817 secs] 2278810K->41863K(8108992K), 0.0021473 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
213.355: [GC (Allocation Failure) 213.355: [DefNew: 2237039K->118K(2516544K), 0.0021713 secs] 2278791K->41870K(8108992K), 0.0022326 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
214.482: [GC (Allocation Failure) 214.482: [DefNew: 2237046K->108K(2516544K), 0.0024435 secs] 2278798K->41860K(8108992K), 0.0025501 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
215.555: [GC (Allocation Failure) 215.555: [DefNew: 2237036K->127K(2516544K), 0.0022494 secs] 2278788K->41880K(8108992K), 0.0023163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
216.671: [GC (Allocation Failure) 216.671: [DefNew: 2237055K->117K(2516544K), 0.0023723 secs] 2278808K->41871K(8108992K), 0.0024426 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
217.948: [GC (Allocation Failure) 217.948: [DefNew: 2237045K->147K(2516544K), 0.0026628 secs] 2278799K->41900K(8108992K), 0.0027321 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
219.241: [GC (Allocation Failure) 219.241: [DefNew: 2237075K->109K(2516544K), 0.0024211 secs] 2278828K->41862K(8108992K), 0.0024967 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
